ten,gia,giong_nho,nha_san_xuat,quoc_gia,nong_do,dung_tich,loai_ruou,url
Rượu vang Pháp Château Olivier 2016,2.662.000 ₫,Bordeaux Blend,Château Olivier,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-olivier-2016/
Rượu vang Pháp Château Palmer 2011,18.150.000 ₫,Bordeaux Blend,Château Palmer,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-palmer-2011/
Rượu vang Pháp Château Palmer 2017,16.500.000 ₫,Bordeaux Blend,Château Palmer,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-palmer-2017/
Rượu vang Pháp Château Pavie 2015,24.623.500 ₫,Bordeaux Blend,Château Pavie,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pavie-2015/
Rượu vang Pháp Château Pavie 2016,26.620.000 ₫,Bordeaux Blend,Château Pavie,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pavie-2016/
Rượu vang Pháp Château Pavie Macquin 2009,8.470.000 ₫,Bordeaux Blend,Château Pavie Macquin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pavie-macquin-2009/
Rượu vang Pháp Château Pavie Macquin 2010,9.680.000 ₫,Bordeaux Blend,Château Pavie Macquin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pavie-macquin-2010/
Rượu vang Pháp Château Pavie Macquin 2012,5.269.000 ₫,Bordeaux Blend,Château Pavie Macquin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pavie-macquin-2012/
Rượu vang Pháp Château Pavie Macquin 2014,4.840.000 ₫,Bordeaux Blend,Château Pavie Macquin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pavie-macquin-2014/
Rượu vang Pháp Château Pavie Macquin 2015,5.929.000 ₫,Bordeaux Blend,Château Pavie Macquin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pavie-macquin-2015/
Rượu vang Pháp Château Pavie Macquin 2016,6.655.000 ₫,Bordeaux Blend,Château Pavie Macquin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pavie-macquin-2016/
Rượu vang Pháp Château Pavie Macquin 2017,5.269.000 ₫,Bordeaux Blend,Château Pavie Macquin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pavie-macquin-2017/
Rượu vang Pháp Château Pavie Macquin 2018,5.357.000 ₫,Bordeaux Blend,Château Pavie Macquin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pavie-macquin-2018/
Rượu vang Pháp Château Pavie Macquin 2019,5.082.000 ₫,Bordeaux Blend,Château Pavie Macquin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pavie-macquin-2019/
Rượu Vang Pháp Château Pédesclaux 2019,2.772.000 ₫,Bordeaux Blend,Château Pédesclaux,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pedesclaux-2019/
Rượu vang Pháp Château Pey La Tour,665.500 ₫,Blend,Vignobles Dourthe,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pey-la-tour/
Rượu vang Pháp Château Pey La Tour 2019 1.5L,1.331.000 ₫,Bordeaux Blend,Vignobles Dourthe,Vang Pháp,15% ABV*,1.5L,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pey-la-tour-2019/
Rượu vang Pháp Grands Terroirs Bordeaux Supérieur,374.000 ₫,Bordeaux Blend,Vignobles Dourthe,Vang Pháp,12% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/grands-terroirs-bordeaux-superieur/
Rượu vang Pháp Château Peymouton 2018,1.353.000 ₫,Bordeaux Blend,Château Peymouton,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-peymouton-2018/
Rượu vang Pháp Château Pichon Baron 2012,8.107.000 ₫,Bordeaux Blend,Château Pichon Baron,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pichon-baron-2012/
Rượu vang Pháp Château Pichon Baron 2014,8.107.000 ₫,Bordeaux Blend,Château Pichon Baron,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-pichon-baron-2014/
Rượu vang Pháp Château Rauzan-Ségla 2000,13.915.000 ₫,Bordeaux Blend,Château Rauzan-Ségla,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-rauzan-segla-2000/
Rượu vang Pháp Château Rauzan-Ségla 2011,8.228.000 ₫,Bordeaux Blend,Château Rauzan-Ségla,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-rauzan-segla-2011/
Rượu vang Pháp Château Rauzan-Ségla 2012,8.228.000 ₫,Bordeaux Blend,Château Rauzan-Ségla,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-rauzan-segla-2012/
Rượu vang Pháp Château Rauzan-Ségla 2014,8.228.000 ₫,Bordeaux Blend,Château Rauzan-Ségla,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-rauzan-segla-2014/
Rượu vang Pháp Château Rauzan-Ségla 2015,9.075.000 ₫,Bordeaux Blend,Château Rauzan-Ségla,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-rauzan-segla-2015/
Rượu vang Pháp Château Rauzan-Ségla 2017,6.776.000 ₫,Bordeaux Blend,Château Rauzan-Ségla,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-rauzan-segla-2017/
Rượu vang Pháp Château Talbot 2018,5.566.000 ₫,Bordeaux Blend,Château Talbot,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-talbot-2018/
Rượu vang Pháp Château Troplong Mondot 1994,11.979.000 ₫,Bordeaux Blend,Château Troplong Mondot,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-troplong-mondot-1994/
Rượu vang Pháp Château Troplong Mondot 2009,12.771.000 ₫,Bordeaux Blend,Château Troplong Mondot,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-troplong-mondot-2009/
Rượu vang Pháp Château Troplong Mondot 2018,7.117.000 ₫,Bordeaux Blend,Château Troplong Mondot,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-troplong-mondot-2018/
Rượu vang Pháp Château Troplong Mondot 2015,8.008.000 ₫,Bordeaux Blend,Château Troplong Mondot,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-troplong-mondot-2015/
Rượu vang Pháp Château Trotte Vieille 2011,6.457.000 ₫,Bordeaux Blend,Château Trotte Vieille,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-trotte-vieille-2011/
Rượu vang Pháp Château Trotte Vieille 2017,6.457.000 ₫,Bordeaux Blend,Château Trotte Vieille,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-trotte-vieille-1st-grand-cru-classe-b/
Rượu vang Pháp Château Valandraud 2015,12.078.000 ₫,Bordeaux Blend,Château Valandraud,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-valandraud-2015/
Rượu vang Pháp Château Valandraud 2016,12.644.500 ₫,Bordeaux Blend,Château Valandraud,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/chateau-valandraud-2016/
Rượu vang Pháp Clos Des Capucins Pinot Noir 2022,1.985.500 ₫,Pinot Noir,Domaine Weinbach,Vang Pháp,13% ABV*,,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/clos-des-capucins-pinot-noir/
Rượu vang Pháp Clos Des Capucins Pinot Noir 2023,1.985.500 ₫,Pinot Noir,Domaine Weinbach,Vang Pháp,13% ABV*,,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/clos-des-capucins-pinot-noir-2023/
Rượu vang Pháp Clos Des Papes Châteauneuf-Du-Pape Rouge 2018,4.367.000 ₫,Blend,Clos Des Papes,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/clos-des-papes-chateauneuf-du-pape-rouge/
Rượu vang Pháp Clos Des Papes Châteauneuf-Du-Pape Rouge 2019,4.367.000 ₫,Blend,Clos Des Papes,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/clos-des-papes-chateauneuf-du-pape-rouge-2019/
Rượu vang Pháp Clos Lunelles,1.683.000 ₫,Bordeaux Blend,Clos Lunelles,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/vang-do-clos-lunelles/
Rượu vang Pháp Clos Rene 2016,2.640.000 ₫,Bordeaux Blend,Clos René,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/clos-rene-2016/
Rượu vang Pháp Clos Rene 2019,2.398.000 ₫,Bordeaux Blend,Clos René,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/clos-rene-2019/
Rượu vang Pháp Louis Latour Corton Clos De La Vigne Au Saint 2010,6.886.000 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-corton-clos-de-la-vigne-au-saint/
Rượu vang Pháp Louis Latour Corton Clos De La Vigne Au Saint 2020,6.886.000 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-corton-clos-de-la-vigne-au-saint-2020/
Rượu vang Pháp Louis Latour Corton Clos Du Roi 2020,6.461.400 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-corton-clos-du-roi-2020/
Rượu vang Pháp Louis Latour Corton Clos Du Roi 2022,6.461.400 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/ruou-vang-phap-louis-latour-corton-clos-du-roi-2022/
Rượu vang Pháp Louis Latour Corton-Perrières 2010,7.187.400 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-corton-perrieres-2010/
Rượu vang Pháp Louis Latour Corton-Perrières 2020,7.187.400 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-corton-perrieres-2020/
Rượu vang Pháp Louis Latour Corton-Perrières 2015,7.187.400 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-corton-perrieres/
Rượu vang Pháp Louis Latour Côte De Nuits-Villages,1.621.400 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-cote-de-nuits-villages/
Rượu vang Pháp Louis Latour Nuits-Saint-Georges 2020,4.125.000 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-nuits-saint-georges-2020/
Rượu vang Pháp Coudoulet de Beaucastel 2019,1.958.000 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/coudoulet-de-beaucastel-2019/
Rượu vang Pháp Coudoulet de Beaucastel 2020,1.958.000 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/coudoulet-de-beaucastel-2020/
Rượu vang Pháp Coudoulet de Beaucastel 2021,1.958.000 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/coudoulet-de-beaucastel-2021/
Rượu vang Pháp Couvent Des Jacobins 2017,2.398.000 ₫,Bordeaux Blend,Couvent des Jacobins,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/couvent-des-jacobins-2017/
Rượu Vang Pháp Crocus L’Atelier,798.600 ₫,Malbec,Crocus Wines,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/crocus-latelier/
Rượu vang Pháp Crocus Le Calcifère 2015,1.628.000 ₫,Malbec,Crocus Wines,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/crocus-le-calcifere-2015/
Rượu vang Pháp Crocus Le Calcifère 2018,1.628.000 ₫,Malbec,Crocus Wines,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/crocus-le-calcifere-2018/
Rượu vang Pháp D de Dauzac,665.500 ₫,Bordeaux Blend,Château Dauzac,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/d-de-dauzac/
Rượu vang Pháp D de Dauzac Blanc,665.500 ₫,Blend,Château Dauzac,Vang Pháp,12% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/d-de-dauzac-blanc/
Rượu vang Pháp Le Haut-Médoc De Dauzac,1.331.000 ₫,Bordeaux Blend,Château Dauzac,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/le-haut-medoc-de-dauzac-2019/
Rượu vang Pháp Domaine de Chevalier Rouge 2009,9.625.000 ₫,Bordeaux Blend,Domaine de Chevalier,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-de-chevalier-rouge-2009/
Rượu vang Pháp Domaine de Chevalier Rouge 2010,8.690.000 ₫,Bordeaux Blend,Domaine de Chevalier,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-de-chevalier-rouge-2010/
Rượu vang Pháp Domaine de Chevalier Rouge 2016,5.126.000 ₫,Bordeaux Blend,Domaine de Chevalier,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-de-chevalier-rouge-2016/
Rượu vang Pháp Domaine de Chevalier Rouge 2017,4.235.000 ₫,Bordeaux Blend,Domaine de Chevalier,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-de-chevalier-rouge-2017/
Rượu vang Pháp Louis Latour Domaine De Valmoissine Pinot Noir,605.000 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/dolouis-latour-maine-de-valmoissine-pinot-noir/
Rượu vang Pháp Domaine La Haute Brande 2017,440.000 ₫,Merlot,Château La Haute Brande,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-haute-brande/
Rượu vang Pháp Domaine Marc Roy Gevrey-Chambertin La Justice 2018,5.093.000 ₫,Pinot Noir,Domaine Marc Roy,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-marc-roy-gevrey-chambertin-la-justice/
Rượu vang Pháp Domaine Michel Noellat Savigny-les-Beaune 2018,1.996.500 ₫,Pinot Noir,Domaine Michel Noellat,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-michel-noellat-savigny-les-beaune-2018/
Rượu vang Pháp Domaine Michel Noellat Savigny-les-Beaune 2019,1.996.500 ₫,Pinot Noir,Domaine Michel Noellat,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-michel-noellat-savigny-les-beaune-2019/
Rượu vang Pháp Domaine Michel Noellat Nuits-Saint-Georges 1er Cru Aux Boudots 2017,5.989.500 ₫,Pinot Noir,Domaine Michel Noellat,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-michel-noellat-nuits-saint-georges-1er-cru-aux-boudots-2017/
Rượu vang Pháp Domaine Michel Noellat Nuits-Saint-Georges 1er Cru Aux Boudots 2019,5.989.500 ₫,Pinot Noir,Domaine Michel Noellat,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-michel-noellat-nuits-saint-georges-1er-cru-aux-boudots-2019/
Rượu vang Pháp Domaine Michel Noellat Nuits-Saint-Georges 2017,3.327.500 ₫,Pinot Noir,Domaine Michel Noellat,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-michel-noellat-nuits-saint-georges-2017/
Rượu vang Pháp Domaine Michel Noellat Nuits-Saint-Georges 2020,3.327.500 ₫,Pinot Noir,Domaine Michel Noellat,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-michel-noellat-nuits-saint-georges-2020/
Rượu vang Pháp Domaine Michel Noellat Vosne-Romanée 2020,4.499.000 ₫,Pinot Noir,Domaine Michel Noellat,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-michel-noellat-vosne-romanee-2020/
Rượu vang Pháp Domaine St Patrice Châteauneuf-Du-Pape 2016,3.179.000 ₫,Blend,Domaine St Patrice,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-st-patrice-chateauneuf-du-pape/
Rượu vang Pháp Domaine St Patrice Clos St Patrice 2016,6.435.000 ₫,Blend,Domaine St Patrice,Vang Pháp,15% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/clos-st-patrice/
Rượu vang Pháp Domaine St Patrice Côtes-Du-Rhône 2016,1.056.000 ₫,Blend,Domaine St Patrice,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-st-patrice-cotes-du-rhone/
Rượu vang Pháp Domaine St Patrice Côtes-Du-Rhône 2019,1.056.000 ₫,Blend,Domaine St Patrice,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-st-patrice-cotes-du-rhone-2019/
Rượu vang Pháp Dourthe N°1 Graves,770.000 ₫,Bordeaux Blend,Vignobles Dourthe,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/dourthe-n1-graves/
Rượu vang Pháp Dourthe N°1 Saint-Émilion,913.000 ₫,Bordeaux Blend,Vignobles Dourthe,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/dourthe-n1-saint-emilion/
Rượu vang Pháp Promesse De Dourthe,605.000 ₫,Merlot,Vignobles Dourthe,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/promesse-de-dourthe/
Rượu vang Pháp Dufouleur Monopole Rouge,385.000 ₫,Mourvedre,Maison Dufouleur Père et Fils,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/dufouleur-monopole-rouge/
Rượu vang Pháp Dufouleur Père & Fils Pinot Noir Vin De France,495.000 ₫,Pinot Noir,Maison Dufouleur Père et Fils,Vang Pháp,12.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/dufouleur-pere-fils-pinot-noir-vin-de-france/
Rượu Vang Pháp Esprit De Pavie,1.309.000 ₫,Blend,Château Pavie,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/esprit-de-pavie/
Rượu vang Pháp Famille Perrin Cairanne Peyre Blanche Rouge,1.040.600 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/famille-perrin-cairanne-peyre-blanche-rouge/
Rượu vang Pháp Famille Perrin Côtes-du-Rhône Rouge Réserve,798.600 ₫,Blend,Famille Perrin,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/famille-perrin-cotes-du-rhone-rouge-reserve/
Rượu vang Pháp Famille Perrin Gigondas La Gille 2021,1.595.000 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/famille-perrin-gigondas-la-gille-2021/
Rượu vang Pháp Famille Perrin Les Sinards Châteauneuf Du-Pape 2019,2.129.600 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/famille-perrin-les-sinards-chateauneuf-du-pape-2019/
Rượu vang Pháp Famille Perrin Les Sinards Châteauneuf Du-Pape 2020,2.129.600 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/famille-perrin-les-sinards-chateauneuf-du-pape-2020/
Rượu vang Pháp Famille Perrin Les Sinards Châteauneuf Du-Pape 2021,2.129.600 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/famille-perrin-les-sinards-chateauneuf-du-pape-2021/
Rượu vang Pháp Famille Perrin Les Sinards Châteauneuf Du-Pape 2022,2.129.600 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/famille-perrin-les-sinards-chateauneuf-du-pape-2022/
Rượu vang Pháp Famille Perrin Nature Côtes-du-Rhône Rouge,919.600 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/famille-perrin-nature-cotes-du-rhone-rouge/
Rượu vang Pháp Famille Perrin Rasteau L’andéol,1.100.000 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/famille-perrin-rasteau-landeol/
Rượu vang Pháp Famille Perrin Vacqueyras Les Christins,1.342.000 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/famille-perrin-vacqueyras-les-christins/
Rượu vang Pháp Famille Perrin Vinsobres Les Cornuds Rouge,1.016.400 ₫,Blend,Famille Perrin,Vang Pháp,14.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/famille-perrin-vinsobres-les-cornuds-rouge/
Rượu vang Pháp Gevrey-Chambertin Bel-Air Premier Cru 2018,5.764.000 ₫,Pinot Noir,Château de Marsannay,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/gevrey-chambertin-bel-air-premier-cru/
Rượu vang Pháp Gevrey-Chambertin Bel-Air Premier Cru 2020,5.764.000 ₫,Pinot Noir,Château de Marsannay,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/gevrey-chambertin-bel-air-premier-cru-2020/
Rượu vang Pháp Gevrey-Chambertin Bel-Air Premier Cru 2021,6.122.600 ₫,Pinot Noir,Château de Marsannay,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/gevrey-chambertin-bel-air-premier-cru-2021/
Rượu vang Pháp Gevrey-Chambertin Cuveé De Très Vieilles Vignes 2018,6.655.000 ₫,Pinot Noir,Domaine Denis Mortet,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/gevrey-chambertin-cuvee-de-tres-vieilles-vignes/
Rượu vang Pháp Gevrey-Chambertin Cuveé De Très Vieilles Vignes 2020,6.655.000 ₫,Pinot Noir,Domaine Denis Mortet,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/gevrey-chambertin-cuvee-de-tres-vieilles-vignes-2020/
Rượu vang Pháp Gevrey-Chambertin Cuveé De Très Vieilles Vignes 2021,6.655.000 ₫,Pinot Noir,Domaine Denis Mortet,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/gevrey-chambertin-cuvee-de-tres-vieilles-vignes-2021/
Rượu vang Pháp Louis Latour Gevrey-Chambertin 2018,3.932.500 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/gevrey-chambertin-louis-latour-2018/
Rượu vang Pháp Louis Latour Gevrey-Chambertin 2019,3.932.500 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-gevrey-chambertin-2019/
Rượu vang Pháp Louis Latour Gevrey-Chambertin 2020,3.932.500 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-gevrey-chambertin-2020/
Rượu vang Pháp Louis Latour Gevrey-Chambertin 2022,3.932.500 ₫,Pinot Noir,Maison Louis Latour,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/louis-latour-gevrey-chambertin-2022/
Rượu vang Pháp Gevrey-Chambertin Mes Cinq Terroirs 2014,6.655.000 ₫,Pinot Noir,Domaine Denis Mortet,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/gevrey-chambertin-mes-cinq-terroirs-2014/
