ten,gia,giong_nho,nha_san_xuat,quoc_gia,nong_do,dung_tich,loai_ruou,url
Rượu Vang Pháp Domaine Faiveley Nuits-Saint-Georges Les Damodes Premier Cru 2016,7.623.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-nuits-saint-georges-les-damodes-premier-cru-2016/
Rượu Vang Pháp Domaine Faiveley Nuits-Saint-Georges Les Damodes Premier Cru 2018,7.260.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-nuits-saint-georges-les-damodes-premier-cru-2018/
Rượu Vang Pháp Domaine Faiveley Nuits-Saint-Georges Les Porêts-Saint-Georges 1er Cru 2022,5.324.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-nuits-saint-georges-les-porets-saint-georges-1er-cru-2022/
Rượu Vang Pháp Domaine Faiveley Gevrey-Chambertin La Combe Aux Moines 1er Cru 2022,7.227.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-gevrey-chambertin-la-combe-aux-moines-1er-cru-2022/
Rượu Vang Pháp Domaine Faiveley Gevrey-Chambertin Les Cazetiers 1er Cru 2016,8.701.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-gevrey-chambertin-les-cazetiers-1er-cru-2016/
Rượu Vang Pháp Domaine Faiveley Gevrey-Chambertin Les Cazetiers 1er Cru 2018,8.701.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-gevrey-chambertin-les-cazetiers-1er-cru-2018/
Rượu Vang Pháp Domaine Faiveley Gevrey-Chambertin Les Cazetiers 1er Cru 2022,8.701.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-gevrey-chambertin-les-cazetiers-1er-cru-2022/
Rượu Vang Pháp Domaine Faiveley Chambolle-Musigny 1er Cru Les Fuées 2022,9.185.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,14% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-chambolle-musigny-1er-cru-les-fuees-2022/
Rượu Vang Pháp Domaine Faiveley Corton Clos Des Cortons Faiveley Monopole Grand Cru 2002,19.569.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-corton-clos-des-cortons-faiveley-monopole-grand-cru-2002/
Rượu Vang Pháp Domaine Faiveley Corton Clos Des Cortons Faiveley Monopole Grand Cru 2008,19.569.000 ₫,Pinot Noir,Domaine Faiveley,Vang Pháp,13.5% ABV*,750ml,Rượu Vang Đỏ,https://winecellar.vn/ruou-vang-phap/domaine-faiveley-corton-clos-des-cortons-faiveley-monopole-grand-cru-2008/
